"county","race","students","total","total_prop","estimated_total","estimated_total_se","estimated_prop","doubledup","doubledup_se","doubledup_prop"
"Placer","Black",85,6361,0.0165001348855548,527.963411819021,31.7346320116339,0.0543477299259825,NA,NA,NA
"Placer","Latino",519,53969,0.139993048206022,2928.41322382612,47.9758458943257,0.301446288582461,917,246.861435901606,0.422775472568004
"Placer","Two or More",119,14174,0.0367666894934529,480.468325270675,37.1602915197244,0.0494586598147651,131,50.308964479039,0.0603964960811434
"Placer","White",587,280105,0.726579198572288,4968.84374081693,217.172965546304,0.511485022683531,1053,193.262534589208,0.485477178423237
"Plumas","Latino",19,1670,0.0894962486602358,107.205879099607,1.7563411791757,0.129676985592156,NA,NA,NA
"Plumas","White",85,15514,0.831404072883173,719.508889215399,31.447533341458,0.870323014407844,NA,NA,NA
"Riverside","AAPI",444,158818,0.0658602602014813,3903.60584066262,186.58940574738,0.0340747228726732,2582,310.416438508875,0.0468908906000291
"Riverside","AIAN",91,10362,0.00429701933161071,480.776212832551,98.13880656127,0.00419671372693245,799,177.134593437731,0.0145103879122476
"Riverside","Black",2025,147160,0.061025802435807,12577.9518698061,756.030939100689,0.109793417102971,3549,386.191810831449,0.0644522737178556
"Riverside","Latino",13781,1179478,0.489117908435586,77758.1168353521,1273.90198895896,0.678753539782543,38670,1298.25255553515,0.702273717855586
"Riverside","Other",63,5936,0.00246160072885941,488.623222748815,152.768268490743,0.00426521057297427,116,71.6798116557717,0.00210663954670928
"Riverside","Two or More",562,57983,0.0240449789524015,2269.10251094218,175.496502807438,0.0198070815512759,1008,227.735518988696,0.0183059712334738
"Riverside","White",2018,851702,0.353192429914255,17081.9875110197,746.601438624261,0.14910931439063,8340,548.596106898514,0.151460119134099
"Sacramento","AAPI",622,252460,0.165596079637769,5468.56493894629,261.393266610069,0.0838084733613432,5895,453.920576509164,0.214332460732984
"Sacramento","AIAN",113,5554,0.0036430350404348,597.007824726135,121.864671883775,0.00914944138611887,174,52.2109639799503,0.00632635253054101
"Sacramento","Black",2435,144695,0.0949097866718966,15124.5989150508,909.103869980335,0.231791989200969,3125,409.660457600936,0.113619837114602
"Sacramento","Latino",3697,353318,0.231751864316951,20860.0071069078,341.747017863819,0.319689967926682,9683,614.240458353807,0.35205788248982
"Sacramento","Other",94,5074,0.00332818865595358,729.056872037914,227.939956160792,0.0111731586113097,655,195.680310324325,0.0238147178592205
"Sacramento","Two or More",882,81623,0.0535389717510641,3561.11817553559,275.423337146192,0.0545759044800658,1954,285.453906781352,0.071044211751018
"Sacramento","White",2234,681829,0.447232073925931,18910.3865706729,826.515170409613,0.289811065033512,6018,430.725049009131,0.218804537521815
"San Benito","AAPI",NA,1790,0.0296475420696966,0,0,0,NA,NA,NA
"San Benito","Latino",268,36081,0.597605008612694,1512.16713677341,24.7736545273204,0.852128572855442,NA,NA,NA
"San Benito","Two or More",NA,1061,0.0175732078971777,0,0,0,NA,NA,NA
"San Benito","White",31,20703,0.342901152775937,262.409124302087,11.46910039512,0.147871427144558,NA,NA,NA
"San Bernardino","AAPI",1310,156325,0.0727420870150314,11517.395610964,550.52279623664,0.0621513471273411,2730,306.783195655066,0.0480879322189146
"San Bernardino","AIAN",194,7783,0.00362163226123774,1024.95148669797,209.218994207543,0.0055309479495354,179,66.3549900941463,0.00315301826636839
"San Bernardino","Black",3419,169340,0.0787983049104457,21236.551823638,1276.47890409148,0.114598851056417,3434,405.380768415615,0.0604886297581512
"San Bernardino","Latino",21122,1145874,0.533204965400685,119179.083070627,1952.4967571868,0.64312634665336,41045,1317.96433683511,0.722992372866428
"San Bernardino","Other",382,3624,0.00168634142550759,2962.76303317535,926.309183547047,0.0159879646363491,NA,NA,NA
"San Bernardino","Two or More",709,53019,0.024671119216056,2862.62220686478,221.400392331803,0.0154475744762922,942,170.890389622862,0.0165929788096035
"San Bernardino","White",3134,613066,0.285275549771036,26528.7159858948,1159.48905284858,0.143156968100706,8441,577.934052636402,0.148685068080534
"San Diego","AAPI",1168,398404,0.120143314094714,10268.9450943557,490.847806110226,0.0839074066205915,5840,452.295529544918,0.088216190087763
"San Diego","AIAN",156,12474,0.00376167834664677,824.18779342723,168.237954105034,0.00673442692305732,87,36.5102252818566,0.00131417954411565
"San Diego","Black",1687,156084,0.0470689276140785,10478.5208910434,629.839108277957,0.0856198475216702,2528,308.312369564936,0.0381867343393604
"San Diego","Latino",14070,1117517,0.337000120323045,79388.774680604,1300.61686268432,0.648684566625768,44166,1370.69396742686,0.667150043050709
"San Diego","Other",183,6560,0.00197824354288944,1419.33412322275,443.75544656835,0.0115973592529178,369,138.790977130681,0.00557393392849051
"San Diego","Two or More",923,114278,0.0344618468893779,3726.65768256162,288.226462795845,0.0304504677582042,1771,245.510281393353,0.0267518617543542
"San Diego","White",1923,1510756,0.455585869189249,16277.8305171907,711.454195477926,0.133005925297791,11440,667.535652598473,0.172807057295207
"San Francisco","AAPI",689,301042,0.344063335394378,6057.6225770643,289.549776035912,0.310816873822123,6108,430.543219671729,0.500163773337701
"San Francisco","AIAN",19,1634,0.00186751180909778,100.381846635368,20.4905200512542,0.00515059684930346,NA,NA,NA
"San Francisco","Black",542,43782,0.0500388017294485,3366.54316712835,202.354947650654,0.172737474063821,934,189.012002720392,0.0764821487061906
"San Francisco","Latino",1360,133314,0.152365648297467,7673.68397765611,125.717052825208,0.39373705348772,3159,395.996927082855,0.258679986898133
"San Francisco","Other",122,3626,0.00414418471223289,946.222748815165,295.8369643789,0.048550729759832,20,19.9999999987678,0.00163773337700622
"San Francisco","Two or More",92,37140,0.0424476062361637,371.454503570606,28.7289648723919,0.0190593464842303,508,128.809418970056,0.0415984277759581
"San Francisco","White",115,354423,0.405072911821213,973.453203056127,42.5466627560902,0.0499479255329688,1483,228.052213590232,0.121437929905011
"San Joaquin","AAPI",303,116940,0.157473104741026,2663.94722910084,127.334662030307,0.0886170372128322,2305,259.761617961828,0.145178560181394
"San Joaquin","AIAN",54,1697,0.00228520488066975,285.295774647887,58.2362148825119,0.00949045311500747,32,31.9999999985422,0.00201549411097814
"San Joaquin","Black",817,50030,0.067371125621631,5074.6600877193,305.025815923587,0.168810153941256,1382,222.033715256443,0.0870441519178686
"San Joaquin","Latino",2815,307463,0.414034147451599,15883.3973508102,260.215811546295,0.528366177350306,9324,583.835674871449,0.587264596586257
"San Joaquin","Other",NA,NA,NA,NA,NA,NA,75,35.2277954866754,0.00472381432260503
"San Joaquin","Two or More",260,29008,0.0390625946838351,1049.76272748215,81.1905529002381,0.0349206852409493,490,119.50679930176,0.0308622535743528
"San Joaquin","White",603,236509,0.318486459117456,5104.28070819865,223.092501234108,0.16979549313965,2269,266.263386794338,0.142911129306544
"San Luis Obispo","AAPI",40,10234,0.0362695585916042,351.676201861498,16.8098563736379,0.0197449880122257,62,42.8252132298362,0.0307082714214958
"San Luis Obispo","AIAN",15,1510,0.00535147874470611,79.2488262910799,16.1767263562533,0.00444945411949311,45,44.999999997727,0.0222882615156018
"San Luis Obispo","Black",29,4909,0.017397621958783,180.128693444137,10.8271097451457,0.0101133908802652,12,12.0000000010588,0.00594353640416048
"San Luis Obispo","Latino",2007,63534,0.225166126202754,11324.3262817322,185.525091926612,0.635808409826368,435,136.560996041712,0.215453194650817
"San Luis Obispo","Other",NA,NA,NA,NA,NA,NA,18,17.9999999990908,0.00891530460624071
"San Luis Obispo","Two or More",82,7203,0.0255276168199458,331.079014052062,25.6062512993059,0.0185885514258711,NA,NA,NA
"San Luis Obispo","White",655,194375,0.688869987418709,5544.45085218925,242.33099221947,0.311295205735777,1447,205.046006957657,0.716691431401684
"San Mateo","AAPI",308,227379,0.29628900879958,2707.90675433353,129.435894077012,0.192966448732428,2920,297.1318428911,0.18001356266568
"San Mateo","AIAN",NA,1158,0.00150894617440447,0,0,0,30,30.0000000011486,0.00184945441094877
"San Mateo","Black",110,16718,0.0217845959790103,683.246768236381,41.0683473091732,0.0486884204057212,353,100.114617365746,0.0217619135688305
"San Mateo","Latino",1724,187248,0.243995814563806,9727.52292461701,159.364852257837,0.693186924078047,10651,755.344000226465,0.656617964367178
